Amount,Cds Code,$ in 000's,District Name,District Code,# Enrolled,Ethnic,Function1 (copy),Function,Function Code,Grads,# G12 Enrollment,Number of Records,# UC Grads,Year1
1542.77,1611680000000,1.54277,Emery Unified,61168,139,6,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,21,29,1,3,1213
87186.55,1611680000000,87.18655,Emery Unified,61168,139,6,Books and Other Reference Materials,Books and Other Reference Materials,4200,21,29,1,3,1213
85988.98,1611680000000,85.98898,Emery Unified,61168,139,6,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,21,29,1,3,1213
3111.42,1611680000000,3.11142,Emery Unified,61168,139,6,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,21,29,1,3,1213
389024.02,1611680000000,389.02402,Emery Unified,61168,1,9,Classified Instructional Salaries,Classified Instructional Salaries,2100,1,1,1,1,1213
1542.77,1611680000000,1.54277,Emery Unified,61168,1,9,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,1,1,1,1,1213
87186.55,1611680000000,87.18655,Emery Unified,61168,1,9,Books and Other Reference Materials,Books and Other Reference Materials,4200,1,1,1,1,1213
85988.98,1611680000000,85.98898,Emery Unified,61168,1,9,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,1,1,1,1,1213
3111.42,1611680000000,3.11142,Emery Unified,61168,1,9,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,1,1,1,1,1213
14266920.02,1611760000000,14266.92002,Fremont Unified,61176,50,1,Classified Instructional Salaries,Classified Instructional Salaries,2100,10,13,1,3,1213
230976.79,1611760000000,230.97679,Fremont Unified,61176,50,1,Classified Support Salaries,Classified Support Salaries,2200,10,13,1,3,1213
17877442.27,1611760000000,17877.44227,Fremont Unified,61176,50,1,Accounts Receivable,Accounts Receivable,9200,10,13,1,3,1213
14266920.02,1611760000000,14266.92002,Fremont Unified,61176,5121,2,Classified Instructional Salaries,Classified Instructional Salaries,2100,1201,1243,1,968,1213
230976.79,1611760000000,230.97679,Fremont Unified,61176,5121,2,Classified Support Salaries,Classified Support Salaries,2200,1201,1243,1,968,1213
17877442.27,1611760000000,17877.44227,Fremont Unified,61176,5121,2,Accounts Receivable,Accounts Receivable,9200,1201,1243,1,968,1213
14266920.02,1611760000000,14266.92002,Fremont Unified,61176,75,3,Classified Instructional Salaries,Classified Instructional Salaries,2100,19,20,1,9,1213
230976.79,1611760000000,230.97679,Fremont Unified,61176,75,3,Classified Support Salaries,Classified Support Salaries,2200,19,20,1,9,1213
17877442.27,1611760000000,17877.44227,Fremont Unified,61176,75,3,Accounts Receivable,Accounts Receivable,9200,19,20,1,9,1213
14266920.02,1611760000000,14266.92002,Fremont Unified,61176,646,4,Classified Instructional Salaries,Classified Instructional Salaries,2100,134,145,1,62,1213
230976.79,1611760000000,230.97679,Fremont Unified,61176,646,4,Classified Support Salaries,Classified Support Salaries,2200,134,145,1,62,1213
