Year,CDS_CODE,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS,District_Code,Function_Code,Function,Amount
1213,1100170000000,4,1,54,7,1,10017,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5761988.840000003
1213,1100170000000,4,1,54,7,1,10017,5900,Communications                                                                                                                                                                                                                                            ,2126900.99
1213,1100170000000,4,1,54,7,1,10017,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248316.29000000004
1213,1100170000000,4,1,54,7,1,10017,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2607.78
1213,1100170000000,4,1,54,7,1,10017,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1138122.98
1213,1100170000000,5,116,916,93,41,10017,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5761988.840000003
1213,1100170000000,5,116,916,93,41,10017,5900,Communications                                                                                                                                                                                                                                            ,2126900.99
1213,1100170000000,5,116,916,93,41,10017,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248316.29000000004
1213,1100170000000,5,116,916,93,41,10017,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2607.78
1213,1100170000000,5,116,916,93,41,10017,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1138122.98
1213,1100170000000,6,102,707,77,45,10017,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5761988.840000003
1213,1100170000000,6,102,707,77,45,10017,5900,Communications                                                                                                                                                                                                                                            ,2126900.99
1213,1100170000000,6,102,707,77,45,10017,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248316.29000000004
1213,1100170000000,6,102,707,77,45,10017,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2607.78
1213,1100170000000,6,102,707,77,45,10017,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1138122.98
1213,1100170000000,7,51,898,50,18,10017,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5761988.840000003
1213,1100170000000,7,51,898,50,18,10017,5900,Communications                                                                                                                                                                                                                                            ,2126900.99
1213,1100170000000,7,51,898,50,18,10017,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248316.29000000004
1213,1100170000000,7,51,898,50,18,10017,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2607.78
1213,1100170000000,7,51,898,50,18,10017,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1138122.98
1213,1100170000000,9,12,128,6,3,10017,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5761988.840000003
1213,1100170000000,9,12,128,6,3,10017,5900,Communications                                                                                                                                                                                                                                            ,2126900.99
1213,1100170000000,9,12,128,6,3,10017,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248316.29000000004
1213,1100170000000,9,12,128,6,3,10017,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2607.78
1213,1100170000000,9,12,128,6,3,10017,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1138122.98
1213,1611190000000,1,3,21,3,2,61119,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2856176.450000001
1213,1611190000000,1,3,21,3,2,61119,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,692260.61
1213,1611190000000,1,3,21,3,2,61119,9200,Accounts Receivable                                                                                                                                                                                                                                       ,469552.67
1213,1611190000000,2,325,1506,301,196,61119,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2856176.450000001
1213,1611190000000,2,325,1506,301,196,61119,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,692260.61
