CDS_CODE,ETHNIC,ENR_TOTAL,GRADS,UC_GRADS
16638900000000,5,2865,125,5
16638900000000,6,111,7,1
16638900000000,7,284,18,0
16639300000000,1,24,5,0
16639300000000,2,88,26,12
16639300000000,4,89,28,19
16639300000000,5,2350,429,94
16639300000000,6,232,45,7
16639300000000,7,1386,281,115
16639300000000,9,29,4,2
16639800000000,1,70,13,3
16639800000000,2,35,5,4
16639800000000,4,146,51,23
16639800000000,5,1120,221,56
16639800000000,6,150,25,6
16639800000000,7,745,154,66
16739300000000,5,2556,116,0
16739300000000,7,48,5,0
17101700000000,1,12,1,0
17101700000000,5,13,3,0
17101700000000,7,35,5,0
17640100000000,1,56,2,0
17640100000000,2,16,1,0
17640100000000,5,640,42,5
17640100000000,6,26,2,0
17640100000000,7,827,92,14
17640100000000,9,32,3,0
17640200000000,1,106,8,3
17640200000000,2,19,3,2
17640200000000,3,4,1,0
17640200000000,5,985,51,17
17640200000000,6,105,8,0
17640200000000,7,1600,96,25
17640200000000,9,227,5,2
17640300000000,1,150,2,0
17640300000000,2,14,1,1
17640300000000,5,417,22,5
17640300000000,7,870,68,25
17640300000000,9,44,11,5
17640600000000,0,4,1,0
17640600000000,1,95,3,1
17640600000000,2,14,1,0
17640600000000,3,12,1,0
17640600000000,5,487,21,7
17640600000000,7,1485,96,31
17640600000000,9,51,1,1
17640700000000,1,38,8,1
17640700000000,2,7,2,1
17640700000000,5,88,13,5
17640700000000,7,198,45,5
17640700000000,9,18,3,1
18101800000000,5,5,1,0
18101800000000,7,30,1,0
18640900000000,5,33,2,1
18640900000000,7,155,13,10
18641400000000,1,57,6,0
18641400000000,3,8,1,1
18641400000000,4,9,3,1
18641400000000,5,147,22,4
18641400000000,6,18,4,0
18641400000000,7,729,160,36
18641600000000,1,16,1,0
18641600000000,5,33,3,0
18641600000000,7,259,20,0
18642000000000,1,87,4,0
18642000000000,2,16,1,0
18642000000000,5,238,11,0
18642000000000,6,25,2,0
18642000000000,7,916,44,0
18750400000000,1,12,1,0
18750400000000,5,32,4,0
18750400000000,7,241,21,0
18767300000000,0,1,1,0
18767300000000,1,22,1,0
18767300000000,5,46,8,0
18767300000000,6,11,1,0
18767300000000,7,296,33,0
19102000000000,0,53,1,1
19102000000000,1,38,6,0
19102000000000,2,148,33,16
19102000000000,3,17,1,1
19102000000000,4,67,10,2
19102000000000,5,6364,634,128
19102000000000,6,1644,121,27
19102000000000,7,711,124,69
19102000000000,9,94,4,0
19642100000000,0,77,6,4
19642100000000,1,56,7,0
19642100000000,2,5230,495,357
19642100000000,3,163,18,7
19642100000000,4,2230,178,92
19642100000000,5,9165,647,165
19642100000000,6,1946,160,60
19642100000000,7,1497,112,39
19642100000000,9,481,34,15
19642500000000,0,622,190,34
19642500000000,1,237,32,1
19642500000000,2,370,86,50
19642500000000,3,59,9,3
19642500000000,4,386,105,51
19642500000000,5,13158,2439,733
19642500000000,6,4636,844,184
19642500000000,7,4934,1089,365
19642500000000,9,414,48,8
19642600000000,1,15,1,1
19642600000000,2,6268,599,459
19642600000000,4,279,23,13
19642600000000,5,1312,109,36
19642600000000,6,189,13,3
19642600000000,7,1570,116,73
19642600000000,9,11,2,1
19642800000000,2,75,5,4
19642800000000,3,8,2,0
19642800000000,4,111,8,4
19642800000000,5,8991,609,158
19642800000000,6,120,4,0
19642800000000,7,373,32,11
19642800000000,9,56,8,3
19642900000000,1,48,6,3
19642900000000,2,738,72,44
19642900000000,3,31,4,1
19642900000000,4,310,21,13
19642900000000,5,16354,1530,499
19642900000000,6,622,144,64
19642900000000,7,633,117,49
19642900000000,9,103,24,13
19643000000000,1,51,1,1
19643000000000,2,605,53,32
19643000000000,3,157,10,1
19643000000000,4,658,68,34
19643000000000,5,12503,830,240
19643000000000,6,1912,153,41
19643000000000,7,1654,166,46
19643000000000,9,374,18,3
19643100000000,1,14,2,1
19643100000000,2,612,77,62
19643100000000,3,9,3,2
19643100000000,4,48,7,4
19643100000000,5,315,28,15
19643100000000,6,191,36,13
19643100000000,7,3289,350,238
19643100000000,9,37,1,0
19643300000000,0,220,17,5
19643300000000,1,23,1,1
19643300000000,2,469,29,18
19643300000000,3,18,1,0
19643300000000,4,181,18,11
19643300000000,5,4634,360,143
19643300000000,6,362,36,9
19643300000000,7,3500,288,135
19643300000000,9,463,40,23
19643400000000,0,124,7,1
19643400000000,1,33,1,0
19643400000000,2,961,111,75
19643400000000,3,24,3,0
19643400000000,4,665,75,40
19643400000000,5,6492,642,120
19643400000000,6,427,32,10
19643400000000,7,7363,691,243
19643400000000,9,457,43,16
19643500000000,0,70,7,1
19643500000000,2,278,44,32
19643500000000,3,71,18,4
19643500000000,4,175,19,12
19643500000000,5,5931,880,285
19643500000000,6,1189,216,68
19643500000000,7,1560,34,17
19643500000000,9,215,8,4
19643800000000,1,39,3,2
19643800000000,2,241,17,15
19643800000000,3,28,1,0
19643800000000,4,118,11,9
19643800000000,5,3360,297,117
19643800000000,6,183,15,9
19643800000000,7,1386,135,59
19643800000000,9,189,13,7
19643900000000,0,228,11,8
19643900000000,1,22,3,3
19643900000000,2,637,65,59
19643900000000,3,15,3,3
19643900000000,4,91,13,13
19643900000000,5,2631,218,111
19643900000000,6,454,47,23
19643900000000,7,2616,255,198
19643900000000,9,324,14,13
19644400000000,1,72,14,5
19644400000000,2,1441,143,112
19644400000000,3,76,16,8
19644400000000,4,492,68,45
19644400000000,5,12473,1118,442
19644400000000,6,1619,187,66
19644400000000,7,3209,270,144
19644400000000,9,328,8,3
19644500000000,1,75,9,4
19644500000000,2,474,52,44
19644500000000,3,53,3,2
19644500000000,4,224,21,14
19644500000000,5,19842,1642,546
19644500000000,6,679,52,12
19644500000000,7,1434,157,55
19644500000000,9,66,1,0
19644700000000,2,128,11,7
19644700000000,4,168,11,7
19644700000000,5,2825,214,67
19644700000000,6,217,23,6
19644700000000,7,318,24,14
19644700000000,9,79,4,2
19645200000000,1,16,1,1
19645200000000,2,1911,477,358
19645200000000,3,9,1,0
19645200000000,4,55,5,4
19645200000000,5,7599,1499,530
19645200000000,6,26,3,0
19645200000000,7,168,43,15
19645200000000,9,28,10,5
19645300000000,2,25,4,2
19645300000000,4,45,5,1
19645300000000,5,9426,720,267
19645300000000,6,41,7,3
19645300000000,7,95,11,2
19645400000000,2,234,16,12
19645400000000,3,17,2,2
19645400000000,4,44,6,3
19645400000000,5,761,72,51
19645400000000,6,134,9,8
19645400000000,7,1840,146,117
19645400000000,9,367,38,29
19645700000000,1,46,3,1
19645700000000,2,3205,289,222
19645700000000,3,26,6,4
19645700000000,4,1727,162,86
19645700000000,5,6046,426,125
19645700000000,6,348,24,7
19645700000000,7,14337,1226,575
19645700000000,9,445,15,8
19645800000000,0,10,1,0
19645800000000,1,26,1,0
19645800000000,2,495,37,29
19645800000000,3,18,1,1
19645800000000,4,194,25,17
19645800000000,5,3505,270,84
19645800000000,6,204,11,4
19645800000000,7,4550,438,177
19645800000000,9,297,22,14
19645900000000,2,240,9,7
19645900000000,3,136,1,1
19645900000000,4,156,9,5
19645900000000,5,6295,83,54
19645900000000,6,1946,8,5
