CDS_CODE,DISTRICT,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS
8100820000000,Del Norte County Office of Education,2,2,5,2,0
8100820000000,Del Norte County Office of Education,5,19,69,28,0
8100820000000,Del Norte County Office of Education,6,3,5,4,0
8100820000000,Del Norte County Office of Education,7,59,351,110,2
8100820000000,Del Norte County Office of Education,9,2,5,2,0
8618200000000,Del Norte County Unified,1,27,120,40,4
8618200000000,Del Norte County Unified,2,30,96,54,20
8618200000000,Del Norte County Unified,5,48,194,92,22
8618200000000,Del Norte County Unified,6,3,9,6,0
8618200000000,Del Norte County Unified,7,175,599,300,54
8618200000000,Del Norte County Unified,9,1,7,2,0
9100900000000,El Dorado County Office of Education,1,1,13,2,0
9100900000000,El Dorado County Office of Education,2,1,3,2,0
9100900000000,El Dorado County Office of Education,3,2,3,2,0
9100900000000,El Dorado County Office of Education,5,42,208,102,0
9100900000000,El Dorado County Office of Education,6,12,38,42,0
9100900000000,El Dorado County Office of Education,7,58,519,94,0
9100900000000,El Dorado County Office of Education,9,3,46,4,0
9618530000000,El Dorado Union High,0,14,17,26,10
9618530000000,El Dorado Union High,1,20,64,36,12
9618530000000,El Dorado Union High,2,56,250,110,90
9618530000000,El Dorado Union High,3,7,25,12,8
9618530000000,El Dorado Union High,4,13,48,26,16
9618530000000,El Dorado Union High,5,192,840,348,162
9618530000000,El Dorado Union High,6,24,85,46,20
9618530000000,El Dorado Union High,7,1353,5020,2560,1380
9618530000000,El Dorado Union High,9,45,498,88,42
9619030000000,Lake Tahoe Unified,1,4,12,10,8
9619030000000,Lake Tahoe Unified,2,9,28,20,16
9619030000000,Lake Tahoe Unified,3,1,3,2,0
9619030000000,Lake Tahoe Unified,4,16,57,30,24
9619030000000,Lake Tahoe Unified,5,116,487,188,46
9619030000000,Lake Tahoe Unified,6,5,18,10,2
9619030000000,Lake Tahoe Unified,7,147,917,274,136
9619030000000,Lake Tahoe Unified,9,2,22,4,0
9737830000000,Black Oak Mine Unified,1,4,18,8,0
9737830000000,Black Oak Mine Unified,2,2,6,4,2
9737830000000,Black Oak Mine Unified,4,1,5,1,1
9737830000000,Black Oak Mine Unified,5,5,58,10,2
9737830000000,Black Oak Mine Unified,6,2,7,2,0
9737830000000,Black Oak Mine Unified,7,120,694,232,42
10101100000000,Fresno County Office of Education,0,5,16,2,0
10101100000000,Fresno County Office of Education,2,42,153,42,0
10101100000000,Fresno County Office of Education,5,236,1402,80,6
10101100000000,Fresno County Office of Education,6,42,352,28,4
10101100000000,Fresno County Office of Education,7,77,337,42,6
10621200000000,Clovis Unified,0,1,69,2,0
10621200000000,Clovis Unified,1,26,289,36,12
10621200000000,Clovis Unified,2,430,5178,788,574
10621200000000,Clovis Unified,3,8,111,12,6
10621200000000,Clovis Unified,4,57,764,102,64
10621200000000,Clovis Unified,5,898,13701,1490,670
10621200000000,Clovis Unified,6,106,1299,178,88
10621200000000,Clovis Unified,7,1520,18089,2662,1526
10621200000000,Clovis Unified,9,55,1283,102,62
10621300000000,Coalinga-Huron Unified,2,2,84,4,2
10621300000000,Coalinga-Huron Unified,4,1,17,2,0
10621300000000,Coalinga-Huron Unified,5,242,3673,356,2
10621300000000,Coalinga-Huron Unified,6,1,37,4,0
10621300000000,Coalinga-Huron Unified,7,41,486,74,0
10621600000000,Fowler Unified,1,1,7,2,2
10621600000000,Fowler Unified,2,18,229,36,26
10621600000000,Fowler Unified,5,128,1924,238,88
10621600000000,Fowler Unified,6,2,20,2,2
10621600000000,Fowler Unified,7,14,234,26,14
10621700000000,Fresno Unified,1,29,443,46,14
10621700000000,Fresno Unified,2,806,8393,1408,894
10621700000000,Fresno Unified,3,20,226,32,18
10621700000000,Fresno Unified,4,21,292,52,42
10621700000000,Fresno Unified,5,3071,48091,4590,1744
10621700000000,Fresno Unified,6,476,6563,722,288
10621700000000,Fresno Unified,7,796,8471,1288,694
10621700000000,Fresno Unified,9,42,870,58,18
10622600000000,Kingsburg Joint Union High,1,2,6,4,2
10622600000000,Kingsburg Joint Union High,2,6,37,12,10
10622600000000,Kingsburg Joint Union High,5,167,702,286,110
10622600000000,Kingsburg Joint Union High,6,1,5,2,2
10622600000000,Kingsburg Joint Union High,7,91,411,166,78
10622600000000,Kingsburg Joint Union High,9,9,39,18,14
10622700000000,Kings Canyon Joint Unified,0,4,42,4,0
10622700000000,Kings Canyon Joint Unified,1,4,31,4,0
10622700000000,Kings Canyon Joint Unified,2,13,116,22,18
10622700000000,Kings Canyon Joint Unified,4,2,47,6,4
10622700000000,Kings Canyon Joint Unified,5,667,8526,984,286
10622700000000,Kings Canyon Joint Unified,6,6,35,8,2
10622700000000,Kings Canyon Joint Unified,7,86,973,150,62
10622700000000,Kings Canyon Joint Unified,9,5,105,6,4
10622800000000,Laton Joint Unified,5,40,578,74,16
10622800000000,Laton Joint Unified,7,6,87,12,2
10623300000000,Orange Center,5,17,447,4,0
10623600000000,Pacific Union Elementary,2,0,12,2,2
10623600000000,Pacific Union Elementary,5,0,312,302,64
10623600000000,Pacific Union Elementary,7,0,39,2,2
10623600000000,Parlier Unified,2,1,16,2,2
10623600000000,Parlier Unified,5,186,3326,302,64
10623600000000,Parlier Unified,7,1,14,2,2
10623800000000,Raisin City Elementary,0,2,4,2,0
10623800000000,Raisin City Elementary,2,5,18,2,0
10623800000000,Raisin City Elementary,5,145,625,40,0
10623800000000,Raisin City Elementary,6,22,36,6,0
10623800000000,Raisin City Elementary,7,19,71,16,0
10624100000000,Sanger Unified,1,4,37,8,2
10624100000000,Sanger Unified,2,84,1123,166,98
10624100000000,Sanger Unified,3,1,23,2,2
10624100000000,Sanger Unified,4,4,68,8,6
10624100000000,Sanger Unified,5,595,7815,1054,372
10624100000000,Sanger Unified,6,10,152,20,6
10624100000000,Sanger Unified,7,96,1686,174,90
10624100000000,Sanger Unified,9,2,198,4,2
10624300000000,Selma Unified,1,3,17,4,4
10624300000000,Selma Unified,2,24,267,44,28
10624300000000,Selma Unified,4,3,13,6,4
10624300000000,Selma Unified,5,404,5726,686,216
10624300000000,Selma Unified,6,5,29,10,2
10624300000000,Selma Unified,7,31,403,58,22
10624300000000,Selma Unified,9,1,11,2,2
10625400000000,West Park Elementary,2,3,33,4,4
10625400000000,West Park Elementary,5,96,515,142,140
10625400000000,West Park Elementary,6,2,12,4,4
10625400000000,West Park Elementary,7,9,55,16,16
10625500000000,Westside Elementary,0,2,3,2,0
10625500000000,Westside Elementary,1,12,19,6,0
10625500000000,Westside Elementary,2,15,20,8,0
10625500000000,Westside Elementary,5,210,620,116,0
10625500000000,Westside Elementary,6,23,29,12,0
10625500000000,Westside Elementary,7,83,137,58,0
10738100000000,Firebaugh-Las Deltas Unified,5,150,2203,280,108
