CDS_CODE,ETHNIC,GRADS,UC_GRADS
19644400000000,1,14,5
19644400000000,2,143,112
19644400000000,3,16,8
19644400000000,4,68,45
19644400000000,5,1118,442
19644400000000,6,187,66
19644400000000,7,270,144
19644400000000,9,8,3
19644500000000,1,9,4
19644500000000,2,52,44
19644500000000,3,3,2
19644500000000,4,21,14
19644500000000,5,1642,546
19644500000000,6,52,12
19644500000000,7,157,55
19644500000000,9,1,0
19644700000000,2,11,7
19644700000000,4,11,7
19644700000000,5,214,67
19644700000000,6,23,6
19644700000000,7,24,14
19644700000000,9,4,2
19645200000000,0,1,0
19645200000000,1,1,1
19645200000000,2,477,358
19645200000000,3,1,0
19645200000000,4,5,4
19645200000000,5,1499,530
19645200000000,6,3,0
19645200000000,7,43,15
19645200000000,9,10,5
19645300000000,2,4,2
19645300000000,4,5,1
19645300000000,5,720,267
19645300000000,6,7,3
19645300000000,7,11,2
19645400000000,2,16,12
19645400000000,3,2,2
19645400000000,4,6,3
19645400000000,5,72,51
19645400000000,6,9,8
19645400000000,7,146,117
19645400000000,9,38,29
19645700000000,1,3,1
19645700000000,2,289,222
19645700000000,3,6,4
19645700000000,4,162,86
19645700000000,5,426,125
19645700000000,6,24,7
19645700000000,7,1226,575
19645700000000,9,15,8
19645800000000,0,1,0
19645800000000,1,1,0
19645800000000,2,37,29
19645800000000,3,1,1
19645800000000,4,25,17
19645800000000,5,270,84
19645800000000,6,11,4
19645800000000,7,438,177
19645800000000,9,22,14
19645900000000,2,9,7
19645900000000,3,1,1
19645900000000,4,9,5
19645900000000,5,83,54
19645900000000,6,8,5
19645900000000,7,2,1
19646000000000,0,1,0
19646000000000,1,3,0
19646000000000,2,6,2
19646000000000,4,3,0
19646000000000,5,136,28
19646000000000,6,21,5
19646000000000,7,113,29
19646000000000,9,6,1
19646300000000,1,5,1
19646300000000,2,3,1
19646300000000,3,5,0
19646300000000,4,3,2
19646300000000,5,501,78
19646300000000,6,318,62
19646300000000,7,3,1
19646300000000,9,1,0
19646600000000,1,1,1
19646600000000,2,102,87
19646600000000,4,2,0
19646600000000,5,21,16
19646600000000,6,1,1
19646600000000,7,224,177
19646600000000,9,18,15
19646800000000,1,2,1
19646800000000,2,65,48
19646800000000,3,2,2
19646800000000,4,9,5
19646800000000,5,76,32
19646800000000,6,28,7
19646800000000,7,832,424
19646800000000,9,1,0
19646900000000,2,5,4
19646900000000,5,75,74
19646900000000,6,8,7
19646900000000,7,4,4
19647100000000,0,3,2
19647100000000,5,259,137
19647100000000,6,1,0
19647300000000,0,426,64
19647300000000,1,148,42
19647300000000,2,2336,1441
19647300000000,3,214,67
19647300000000,4,1436,793
19647300000000,5,29595,9789
19647300000000,6,4438,1519
19647300000000,7,4310,2285
19647300000000,9,70,41
19647700000000,1,2,0
19647700000000,3,1,1
19647700000000,5,837,302
19647700000000,6,58,16
19647700000000,7,2,1
19647900000000,2,5,5
19647900000000,3,1,0
19647900000000,4,7,5
19647900000000,5,239,83
19647900000000,6,45,17
19647900000000,7,114,67
19647900000000,9,4,1
19648100000000,0,1,0
19648100000000,1,1,0
19648100000000,2,74,56
19648100000000,3,2,1
19648100000000,4,8,6
19648100000000,5,2054,481
19648100000000,6,2,0
19648100000000,7,39,13
19648100000000,9,6,2
19648400000000,0,2,0
19648400000000,1,2,1
19648400000000,2,48,36
19648400000000,3,8,2
19648400000000,4,47,37
19648400000000,5,1133,332
19648400000000,6,62,26
19648400000000,7,183,69
19648400000000,9,23,9
19648600000000,0,2,0
19648600000000,1,3,0
19648600000000,5,22,0
19648600000000,6,10,0
19648600000000,7,12,0
19648700000000,0,2,1
19648700000000,1,1,0
19648700000000,2,269,234
19648700000000,3,9,4
19648700000000,4,43,30
19648700000000,5,1114,373
19648700000000,6,137,36
19648700000000,7,657,505
19648700000000,9,12,11
19648800000000,0,1,1
19648800000000,1,6,3
19648800000000,2,35,31
19648800000000,3,4,4
19648800000000,4,28,25
19648800000000,5,767,626
19648800000000,6,246,199
19648800000000,7,150,130
19648800000000,9,49,47
19649100000000,0,1,0
19649100000000,1,4,0
19649100000000,2,85,5
19649100000000,3,1,0
19649100000000,4,28,0
19649100000000,5,1258,46
19649100000000,6,106,13
19649100000000,7,69,4
19649100000000,9,29,1
19649600000000,2,166,140
19649600000000,4,3,2
19649600000000,5,26,18
19649600000000,6,3,2
19649600000000,7,91,70
19649600000000,9,5,4
19649800000000,1,1,0
19649800000000,2,63,47
19649800000000,3,2,1
19649800000000,4,7,5
19649800000000,5,307,194
19649800000000,6,86,45
19649800000000,7,439,311
19649800000000,9,50,42
19650300000000,1,2,1
19650300000000,2,139,114
19650300000000,4,8,6
19650300000000,5,71,26
19650300000000,6,7,1
19650300000000,7,116,86
19650300000000,9,5,2
19650500000000,1,1,1
19650500000000,2,330,240
19650500000000,3,1,0
19650500000000,4,8,5
19650500000000,5,83,35
19650500000000,6,7,2
19650500000000,7,55,25
19650500000000,9,5,3
19650600000000,0,44,24
19650600000000,1,16,6
19650600000000,2,665,489
19650600000000,3,16,5
19650600000000,4,125,75
19650600000000,5,479,143
19650600000000,6,111,37
19650600000000,7,646,322
19650600000000,9,58,27
19650900000000,0,2,0
19650900000000,1,2,1
19650900000000,2,100,68
19650900000000,4,56,24
19650900000000,5,596,154
19650900000000,6,70,8
19650900000000,7,164,24
19651300000000,1,11,0
19651300000000,2,44,0
19651300000000,3,10,0
19651300000000,4,32,0
19651300000000,5,2506,4
19651300000000,6,34,0
19651300000000,7,312,1
19651300000000,9,1,0
19651400000000,0,5,2
19651400000000,1,15,4
19651400000000,2,287,230
19651400000000,3,17,9
19651400000000,4,202,153
19651400000000,5,1445,604
19651400000000,6,258,135
19651400000000,7,2188,1305
19651400000000,9,53,28
